commons-lang3 | mode=none specs=2332 matched=2332 missing=0 mismatches=0 fidelity=100.00% originalBytes=657952 embeddedBytes=732063 overhead=11.26% embedThroughput=7081 m/s readThroughput=74704 m/s
commons-lang3 | mode=jml-inferrer (v2) specs=2332 matched=2332 missing=0 mismatches=0 fidelity=100.00% originalBytes=657952 embeddedBytes=724210 overhead=10.07% embedThroughput=9190 m/s readThroughput=109904 m/s
commons-lang3 | mode=learned-dict (v2) specs=2332 matched=2332 missing=0 mismatches=0 fidelity=100.00% originalBytes=657952 embeddedBytes=720339 overhead=9.48% embedThroughput=10036 m/s readThroughput=114524 m/s
commons-lang3 | mode=compressed-v3 specs=2332 matched=2332 missing=0 mismatches=0 fidelity=100.00% originalBytes=657952 embeddedBytes=856973 overhead=30.25% embedThroughput=6583 m/s readThroughput=77934 m/s
commons-lang3 | mode=none specs=2332 matched=2332 missing=0 mismatches=0 fidelity=100.00% originalBytes=657952 embeddedBytes=732063 overhead=11.26% embedThroughput=15678 m/s readThroughput=200281 m/s
commons-lang3 | mode=jml-inferrer (v2) specs=2332 matched=2332 missing=0 mismatches=0 fidelity=100.00% originalBytes=657952 embeddedBytes=724210 overhead=10.07% embedThroughput=16708 m/s readThroughput=182937 m/s
commons-lang3 | mode=learned-dict (v2) specs=2332 matched=2332 missing=0 mismatches=0 fidelity=100.00% originalBytes=657952 embeddedBytes=720339 overhead=9.48% embedThroughput=17354 m/s readThroughput=192350 m/s
commons-lang3 | mode=compressed-v3 specs=2332 matched=2332 missing=0 mismatches=0 fidelity=100.00% originalBytes=657952 embeddedBytes=856973 overhead=30.25% embedThroughput=9985 m/s readThroughput=118290 m/s
commons-lang3 | mode=none specs=2332 matched=2332 missing=0 mismatches=0 fidelity=100.00% originalBytes=657952 embeddedBytes=732063 overhead=11.26% embedThroughput=14743 m/s readThroughput=187563 m/s
commons-lang3 | mode=jml-inferrer (v2) specs=2332 matched=2332 missing=0 mismatches=0 fidelity=100.00% originalBytes=657952 embeddedBytes=724210 overhead=10.07% embedThroughput=16296 m/s readThroughput=187707 m/s
commons-lang3 | mode=learned-dict (v2) specs=2332 matched=2332 missing=0 mismatches=0 fidelity=100.00% originalBytes=657952 embeddedBytes=720339 overhead=9.48% embedThroughput=16750 m/s readThroughput=189988 m/s
commons-lang3 | mode=compressed-v3 specs=2332 matched=2332 missing=0 mismatches=0 fidelity=100.00% originalBytes=657952 embeddedBytes=856973 overhead=30.25% embedThroughput=9700 m/s readThroughput=115305 m/s
commons-lang3 | mode=none specs=2332 matched=2332 missing=0 mismatches=0 fidelity=100.00% originalBytes=657952 embeddedBytes=732063 overhead=11.26% embedThroughput=14620 m/s readThroughput=183143 m/s
commons-lang3 | mode=jml-inferrer (v2) specs=2332 matched=2332 missing=0 mismatches=0 fidelity=100.00% originalBytes=657952 embeddedBytes=724210 overhead=10.07% embedThroughput=15824 m/s readThroughput=195907 m/s
commons-lang3 | mode=learned-dict (v2) specs=2332 matched=2332 missing=0 mismatches=0 fidelity=100.00% originalBytes=657952 embeddedBytes=720339 overhead=9.48% embedThroughput=17753 m/s readThroughput=180685 m/s
commons-lang3 | mode=compressed-v3 specs=2332 matched=2332 missing=0 mismatches=0 fidelity=100.00% originalBytes=657952 embeddedBytes=856973 overhead=30.25% embedThroughput=10022 m/s readThroughput=131612 m/s
commons-lang3 | mode=none specs=2332 matched=2332 missing=0 mismatches=0 fidelity=100.00% originalBytes=657952 embeddedBytes=732063 overhead=11.26% embedThroughput=16558 m/s readThroughput=182651 m/s
commons-lang3 | mode=jml-inferrer (v2) specs=2332 matched=2332 missing=0 mismatches=0 fidelity=100.00% originalBytes=657952 embeddedBytes=724210 overhead=10.07% embedThroughput=17500 m/s readThroughput=166016 m/s
commons-lang3 | mode=learned-dict (v2) specs=2332 matched=2332 missing=0 mismatches=0 fidelity=100.00% originalBytes=657952 embeddedBytes=720339 overhead=9.48% embedThroughput=18089 m/s readThroughput=189687 m/s
commons-lang3 | mode=compressed-v3 specs=2332 matched=2332 missing=0 mismatches=0 fidelity=100.00% originalBytes=657952 embeddedBytes=856973 overhead=30.25% embedThroughput=9931 m/s readThroughput=122251 m/s
